winner_name,loser_name,ranking_difference,height_difference,age_difference,player1_hand,player2_hand,player1_h2h_win_pct,match_type,player1_recent_win_pct,player2_recent_win_pct,target
Jurgen Melzer,Fabrice Santoro,-10.0,5.0,-8.399999999999999,0,1,0.5,0,0.0,0.6666666666666666,2.0
Philipp Kohlschreiber,Luis Horna,2.0,-2.0,-3.1000000000000014,1,1,0.5,0,0.0,0.5,4.0
Ivo Minar,Paradorn Srichaphan,107.0,-2.0,-4.899999999999999,1,1,0.5,0,0.5,0.5,7.0
Dominik Hrbaty,Woong Sun Jun,-338.0,-7.0,8.5,1,1,0.5,0,0.0,0.5,4.0
Tomas Berdych,Robert Smeets,-355.0,8.0,0.1999999999999993,1,0,0.5,0,0.5,0.5,6.0
Olivier Rochus,Jarkko Nieminen,19.0,-17.0,0.5,1,0,0.5,0,0.6666666666666666,0.5,6.0
James Blake,Kevin Kim,-92.0,5.0,-1.3999999999999986,1,1,0.5,0,0.5,0.5,5.0
Juan Monaco,Daniel King Turner,-385.0,-5.0,0.09999999999999787,1,1,0.5,0,0.5,0.5,6.0
Nathan Healey,Stefan Koubek,101.0,5.0,-3.1999999999999993,1,0,0.5,0,0.0,0.8,5.0
Florent Serra,Nicolas Lapentti,8.0,-8.0,-4.599999999999998,1,1,0.5,0,0.5,0.5,0.0
Robby Ginepri,Florian Mayer,-5.0,-7.0,1.0,1,1,0.5,0,0.5,0.5,7.0
Agustin Calleri,Juan Martin del Potro,-44.0,-15.0,12.100000000000001,1,1,0.5,0,0.5,0.8,8.0
Evgeny Korolev,Hyung Taik Lee,54.0,5.0,-12.2,1,1,0.5,0,0.3333333333333333,0.0,6.0
Nicolas Almagro,Stan Wawrinka,1.0,0.0,-0.3999999999999986,1,1,0.5,0,0.0,0.0,2.0
Fernando Verdasco,Sebastien Grosjean,7.0,13.0,-5.5,0,1,0.5,0,0.5,0.0,4.0
Kristof Vliegen,Janko Tipsarevic,-25.0,13.0,2.0,1,1,0.5,0,0.0,0.0,7.0
Carlos Moya,Luke Bourgeois,-325.0,2.0,0.5,1,1,0.5,0,0.75,0.5,0.0
Daniele Bracciali,Gilles Simon,19.0,-3.0,6.899999999999999,1,1,0.5,0,0.0,0.5,7.0
Jan Hernych,Andreas Seppi,-3.0,0.0,4.699999999999999,1,1,0.5,0,0.0,0.0,6.0
David Ferrer,Gaston Gaudio,-18.0,0.0,-3.3000000000000007,1,1,0.5,0,0.5,0.5,5.0
