playerA_market_prob,bookie_margin,log_target,playerA_points_won_pct,minutes,playerA,playerB,pseudo_date
0.07569538136538875,0.9035130401914713,0,0.4414,88.0,Gaston Gaudio,Tommy Robredo,2003-10-28
1.592710211658896,-0.18686531894614852,1,0.5137,87.0,Andy Roddick,Victor Hanescu,2003-10-28
0.41772668008242964,1.0419737842089472,1,0.5402,103.0,Jiri Novak,Fabrice Santoro,2003-10-29
1.301259076376343,-0.1695577259439636,1,0.5469,72.0,Paradorn Srichaphan,Karol Beck,2003-10-29
0.8717709243361839,-0.21282670844942472,1,0.5352,83.0,Guillermo Coria,Feliciano Lopez,2003-10-29
0.17664531993551238,0.8688978541871026,1,0.5346,94.0,Andrei Pavel,Felix Mantilla,2003-10-29
0.6767854265500539,0.39293904662703005,1,0.5455,93.0,Rainer Schuettler,James Blake,2003-10-29
0.5841327432048716,-0.195519115447241,0,0.4767,142.0,Sebastien Grosjean,Tim Henman,2003-10-29
-0.16077639254545,0.8688978541871026,0,0.4843,126.0,Mark Philippoussis,Gustavo Kuerten,2003-10-29
0.41772668008242964,1.0419737842089472,0,0.4795,87.0,Dominik Hrbaty,Martin Verkerk,2003-10-29
-1.679174098709781,-0.23878809795270214,0,0.4375,60.0,Thierry Ascione,Roger Federer,2003-10-29
0.04260715959483222,-0.1695577259439636,1,0.5812,68.0,Jonas Bjorkman,Nicolas Lapentti,2003-10-29
0.5043869013207097,0.3842852501259388,0,0.4921,115.0,Sjeng Schalken,Gregory Carraz,2003-10-29
-1.1444620953246492,-0.195519115447241,1,0.5497,94.0,Jiri Novak,Juan Carlos Ferrero,2003-10-30
-0.566345750389439,-0.1695577259439636,1,0.5294,76.0,Hicham Arazi,Paradorn Srichaphan,2003-10-30
-0.8134938035741971,1.0419737842089472,1,0.5547,90.0,Andrei Pavel,Guillermo Coria,2003-10-30
-0.3456208006122066,0.410246639629215,0,0.4503,104.0,Nicolas Massu,Rainer Schuettler,2003-10-30
-0.5682638158148089,-0.195519115447241,1,0.5748,75.0,Tim Henman,Gustavo Kuerten,2003-10-30
-1.5768412842688333,-0.18686531894614852,0,0.4793,146.0,Martin Verkerk,Roger Federer,2003-10-30
0.5043869013207097,0.3842852501259388,1,0.5182,87.0,Jonas Bjorkman,Gregory Carraz,2003-10-30
1.4548835832001419,0.5140921976423211,1,0.5487,62.0,Andy Roddick,Tommy Robredo,2003-10-30
0.7579141443050392,0.7737060926750878,1,0.6176,62.0,Jiri Novak,Hicham Arazi,2003-10-31
0.8717709243361839,-0.21282670844942472,0,0.474,113.0,Rainer Schuettler,Andrei Pavel,2003-10-31
0.5841327432048716,-0.195519115447241,0,0.4426,79.0,Roger Federer,Tim Henman,2003-10-31
1.5300198388482256,0.15063274459644815,1,0.5597,86.0,Andy Roddick,Jonas Bjorkman,2003-10-31
-0.6609164991599913,0.39293904662703005,1,0.522,116.0,Andrei Pavel,Jiri Novak,2003-11-01
-0.7420452169149768,0.7737060926750878,1,0.5251,121.0,Tim Henman,Andy Roddick,2003-11-01
-0.9559300182690295,-0.957053207543356,0,0.4478,146.0,Andrei Pavel,Tim Henman,2003-11-02
-0.40185775269236695,1.0419737842089472,1,0.6019,68.0,David Nalbandian,Juan Carlos Ferrero,2003-11-10
0.17664531993551238,0.8688978541871026,1,0.6042,96.0,Roger Federer,Andre Agassi,2003-11-11
0.5841327432048716,-0.195519115447241,0,0.4453,90.0,Guillermo Coria,Rainer Schuettler,2003-11-11
-0.16077639254545,0.8688978541871026,0,0.3962,71.0,David Nalbandian,Roger Federer,2003-11-12
-1.2970393997388547,-0.42051782447563796,0,0.4713,96.0,Carlos Moya,Andy Roddick,2003-11-12
0.41772668008242964,1.0419737842089472,1,0.4792,92.0,Andre Agassi,Juan Carlos Ferrero,2003-11-13
0.9717989456590919,-0.957053207543356,0,0.502,155.0,Andy Roddick,Rainer Schuettler,2003-11-13
0.27298567226955783,0.6179377556554282,0,0.4412,92.0,Carlos Moya,Guillermo Coria,2003-11-13
-0.7420452169149768,0.7737060926750878,0,0.3824,54.0,Juan Carlos Ferrero,Roger Federer,2003-11-14
-0.6609164991599913,0.39293904662703005,0,0.5022,152.0,David Nalbandian,Andre Agassi,2003-11-14
0.41772668008242964,1.0419737842089472,0,0.4453,90.0,Rainer Schuettler,Carlos Moya,2003-11-14
-0.6609164991599913,0.39293904662703005,0,0.454,128.0,Rainer Schuettler,Andre Agassi,2003-11-15
-0.9559300182690295,-0.957053207543356,0,0.4656,113.0,Guillermo Coria,Andy Roddick,2003-11-15
-0.25711674487949515,0.6179377556554282,0,0.4202,62.0,Andy Roddick,Roger Federer,2003-11-16
0.6738476624297959,-0.1695577259439636,0,0.4566,140.0,Juan Carlos Ferrero,Lleyton Hewitt,2003-11-28
-0.3262249253502129,-0.1695577259439636,0,0.4566,140.0,Mark Philippoussis,Carlos Moya,2003-11-28
-0.7964667946375771,-0.1695577259439636,1,0.5434,140.0,Mark Philippoussis,Juan Carlos Ferrero,2003-11-30
0.17664531993551238,0.8688978541871026,1,0.5563,84.0,Paul Goldstein,Olivier Mutis,2004-01-05
-0.25711674487949515,0.6179377556554282,1,0.5163,129.0,Hicham Arazi,Thomas Enqvist,2004-01-05
-0.2447455425700219,-0.1695577259439636,1,0.5656,79.0,Prakash Amritraj,Harsh Mankad,2004-01-05
